agence_cat,biblionumber,collection,collection1,collection2,collection3,collection4,date_transaction,element_initial,point_acces,subd_chrono,subd_forme,subd_geo,subd_sujet,support,unimarc
Roubaix,500,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2007-08-28,"Chansons françaises","Chansons françaises - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,500,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2007-08-28,"Folk (musique)","Folk (musique) - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,500,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2007-08-28,090.2,090.2,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,501,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,"Prêt (discothèques)","Prêt (discothèques) - France",ABS,ABS,France,ABS,Livre,f606
BnF,502,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1983-03-10,"Bibliothèques publiques","Bibliothèques publiques - France",ABS,ABS,France,ABS,Livre,f606
BnF,502,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1983-03-10,"Bibliothèques rurales","Bibliothèques rurales - France",ABS,ABS,France,ABS,Livre,f606
BnF,502,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1983-03-10,"00 ","00 ",ABS,ABS,ABS,ABS,Livre,f686
Roubaix,504,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-09-03,"Bibliothèques publiques","Bibliothèques publiques",ABS,ABS,ABS,ABS,Livre,f606
Autre,505,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,,Guitare,Guitare,ABS,ABS,ABS,ABS,"Disque compact",f606
Autre,505,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,,"Guitare, Musique de (country)","Guitare, Musique de (country) - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Autre,505,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,,090.2,090.2,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,507,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2007-08-28,Guitare,Guitare,ABS,ABS,ABS,ABS,"Disque compact",f606
Roubaix,507,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2007-08-28,"Guitare, Musique de (country)","Guitare, Musique de (country) - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,507,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2007-08-28,090.2,090.2,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,508,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,"Histoires d'amour","Histoires d'amour - Bibliographie",ABS,ABS,ABS,Bibliographie,Livre,f606
Roubaix,509,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2016-01-31,Guitare,Guitare,ABS,ABS,ABS,ABS,"Disque compact",f606
Roubaix,509,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2016-01-31,"Guitare, Musique de (country)","Guitare, Musique de (country) - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,509,"Adultes - Musique et arts vivants - Musique - Chanson francophone",Adultes,"Musique et arts vivants",Musique,"Chanson francophone",2016-01-31,090.2,090.2,ABS,ABS,ABS,ABS,"Disque compact",f679
BnF,510,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1984-04-20,Humour,Humour,ABS,ABS,ABS,ABS,Livre,f609
BnF,510,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1984-04-20,"Mots d'esprit et jeux de mots","Mots d'esprit et jeux de mots",ABS,ABS,ABS,ABS,Livre,f609
BnF,510,"Jeunesse - Albums - Albums pour enfants",Jeunesse,Albums,"Albums pour enfants",INC,1984-04-20,"82 ","82 ",ABS,ABS,ABS,ABS,Livre,f686
Roubaix,511,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,Bibliographie,Bibliographie,ABS,ABS,ABS,ABS,Livre,f606
Roubaix,512,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,Bibliographie,Bibliographie,ABS,ABS,ABS,ABS,Livre,f606
Roubaix,513,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2009-09-16,"Var (France)","Var (France) - Bibliographie",ABS,ABS,ABS,Bibliographie,Livre,f607
Roubaix,514,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,"Enfants d'âge préscolaire","Enfants d'âge préscolaire - Livres et lecture",ABS,ABS,ABS,"Livres et lecture",Livre,f606
Roubaix,514,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,808.89,808.89,ABS,ABS,ABS,ABS,Livre,f676
Roubaix,515,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2016-01-31,"Tonton David","Tonton David - 1967-....",ABS,ABS,ABS,ABS,"Disque compact",f600
Roubaix,515,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2016-01-31,"Tonton  Tontonz ","Tonton  - Tontonz ",ABS,ABS,ABS,ABS,"Disque compact",f600
Roubaix,515,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2016-01-31," Tontonz  1967-....","Tontonz  - 1967-....",ABS,ABS,ABS,ABS,"Disque compact",f600
Roubaix,515,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2016-01-31,Raggamuffin,"Raggamuffin - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,515,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2016-01-31,052.2,052.2,ABS,ABS,ABS,ABS,"Disque compact",f679
BnF,516,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1980-10-26,"Bibliographie de bibliographies","Bibliographie de bibliographies",ABS,ABS,ABS,ABS,Livre,f606
BnF,516,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1980-10-26,"00 ","00 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,518,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1986-01-01,Travailleurs,"Travailleurs - Livres et lecture - France",ABS,ABS,France,"Livres et lecture",Livre,f606
BnF,518,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1986-01-01,"Bibliothèques d'entreprises","Bibliothèques d'entreprises - France",ABS,ABS,France,ABS,Livre,f606
Roubaix,519,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,Bibliothèques,"Bibliothèques - Activités culturelles",ABS,ABS,ABS,"Activités culturelles",Livre,f606
BnF,520,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1982-10-26,"Description bibliographique","Description bibliographique - Problèmes et exercices",ABS,ABS,ABS,"Problèmes et exercices",Livre,f606
